ma,pham_vi,nhom,mo_ta,vi_tri_source,occurrence,trang_thai
"master.drawer.view","DUNG_CHUNG","GIAO DIỆN","Khu A chứa bản xem thật dùng renderer chung","master-list.js:256","SINGLE","BUILT"
"master.drawer.view.header","DUNG_CHUNG","GIAO DIỆN","Đầu Khu A","master-list.js:256","SINGLE","BUILT"
"master.drawer.view.title","DUNG_CHUNG","GIAO DIỆN","Tên loại bản xem thật theo Mẹ","master-list.js:256","SINGLE","BUILT"
"master.drawer.view.source","DUNG_CHUNG","GIAO DIỆN","Nhãn nguồn schema hoặc dữ liệu mẫu của bản xem","master-list.js:256","SINGLE","BUILT"
"master.drawer.view.host","DUNG_CHUNG","GIAO DIỆN","Điểm nhúng chỉ đọc của renderer dùng chung","master-list.js:256","SINGLE","BUILT"
"master.drawer.support","DUNG_CHUNG","GIAO DIỆN","Khu B hỗ trợ vận hành","master-list.js:257","SINGLE","BUILT"
"master.drawer.support.hierarchy","DUNG_CHUNG","GIAO DIỆN","Khối đường dẫn 7 tầng và tên cụ thể trong Khu B","master-list.js:258","SINGLE","BUILT"
"master.drawer.support.trigger","DUNG_CHUNG","GIAO DIỆN","Khối trigger hàng đợi và điều kiện","master-list.js:259","CONDITIONAL","BUILT"
"master.drawer.support.trigger.item","DUNG_CHUNG","GIAO DIỆN","Một dòng trigger hàng đợi hoặc điều kiện","master-list.js:251","REPEATABLE","BUILT"
"master.drawer.support.trigger.label","DUNG_CHUNG","GIAO DIỆN","Nhãn của một dòng trigger hỗ trợ","master-list.js:251","REPEATABLE","BUILT"
"master.drawer.support.trigger.value","DUNG_CHUNG","DỮ LIỆU","Giá trị trigger hàng đợi hoặc điều kiện","master-list.js:251","REPEATABLE","BUILT"
"master.drawer.support.roles","DUNG_CHUNG","GIAO DIỆN","Khối ba vai người","master-list.js:260","CONDITIONAL","BUILT"
"master.drawer.support.roles.item","DUNG_CHUNG","GIAO DIỆN","Một dòng vai người","master-list.js:252","REPEATABLE(3)","BUILT"
"master.drawer.support.roles.label","DUNG_CHUNG","GIAO DIỆN","Nhãn vai thực hiện báo cáo hoặc làm thay","master-list.js:252","REPEATABLE(3)","BUILT"
"master.drawer.support.roles.chip","DUNG_CHUNG","DỮ LIỆU","Chip người hoặc Agent được gán vai","master-list.js:252","REPEATABLE(3)","BUILT"
"master.drawer.support.pg_tables","DUNG_CHUNG","GIAO DIỆN","Khối bảng PG kết nối","master-list.js:261","SINGLE","BUILT"
"master.drawer.support.pg_tables.item","DUNG_CHUNG","GIAO DIỆN","Một chip bảng PG kết nối","master-list.js:253","REPEATABLE","BUILT"
"master.drawer.support.pg_tables.name","DUNG_CHUNG","DỮ LIỆU","Tên bảng PG kết nối","master-list.js:253","REPEATABLE","BUILT"
"master.drawer.info","DUNG_CHUNG","GIAO DIỆN","Khu thông tin chung kiểu kitchen-sink đã gộp vào hai khu mới","master-list.js:v5:226","CONDITIONAL","TO_REMOVE"
"master.drawer.info.label","DUNG_CHUNG","GIAO DIỆN","Nhãn thuộc tính rời kiểu cũ","master-list.js:v5:227","REPEATABLE(4)","TO_REMOVE"
"master.drawer.info.row","DUNG_CHUNG","GIAO DIỆN","Dòng thuộc tính rời kiểu cũ","master-list.js:v5:227","REPEATABLE(4)","TO_REMOVE"
"master.drawer.info.value","DUNG_CHUNG","DỮ LIỆU","Giá trị thuộc tính rời kiểu cũ","master-list.js:v5:227","REPEATABLE(4)","TO_REMOVE"
"master.drawer.links","DUNG_CHUNG","GIAO DIỆN","Khu liên kết bốn Mẹ không thuộc nguyên tắc một form một kiểu","master-list.js:v5:233","CONDITIONAL","TO_REMOVE"
"master.drawer.links.count","DUNG_CHUNG","DỮ LIỆU","Số lượng liên kết Mẹ kiểu cũ","master-list.js:v5:234","REPEATABLE(4)","TO_REMOVE"
"master.drawer.links.description","DUNG_CHUNG","DỮ LIỆU","Mô tả liên kết Mẹ kiểu cũ","master-list.js:v5:234","REPEATABLE(4)","TO_REMOVE"
"master.drawer.links.grid","DUNG_CHUNG","GIAO DIỆN","Lưới liên kết bốn Mẹ kiểu cũ","master-list.js:v5:233","CONDITIONAL","TO_REMOVE"
"master.drawer.links.item","DUNG_CHUNG","GIAO DIỆN","Một thẻ liên kết Mẹ kiểu cũ","master-list.js:v5:234","REPEATABLE(4)","TO_REMOVE"
"master.drawer.links.mother","DUNG_CHUNG","DỮ LIỆU","Tên Mẹ trong thẻ liên kết kiểu cũ","master-list.js:v5:234","REPEATABLE(4)","TO_REMOVE"
