ma,pham_vi,nhom,mo_ta,vi_tri_source,occurrence,trang_thai
"master.drawer.process","DUNG_CHUNG","GIAO DIỆN","Bản xem quy trình vận hành dùng UI MOW nâng cao","mvx-v3.js:398","CONDITIONAL","BUILT"
"master.drawer.process.start","DUNG_CHUNG","GIAO DIỆN","Khối bắt đầu quy trình","mvx-v3.js:399","CONDITIONAL","BUILT"
"master.drawer.process.start.trigger","DUNG_CHUNG","DỮ LIỆU","Trigger khởi động cấp quy trình","mvx-v3.js:402","CONDITIONAL","BUILT"
"master.drawer.process.start.condition","DUNG_CHUNG","DỮ LIỆU","Điều kiện để quy trình được chạy","mvx-v3.js:403","CONDITIONAL","BUILT"
"master.drawer.process.start.queue","DUNG_CHUNG","DỮ LIỆU","Hàng đợi đầu vào của quy trình","mvx-v3.js:404","CONDITIONAL","BUILT"
"master.drawer.process.sequence","DUNG_CHUNG","GIAO DIỆN","Chuỗi công việc theo thứ tự vận hành","mvx-v3.js:407","CONDITIONAL","BUILT"
"master.drawer.process.task","DUNG_CHUNG","GIAO DIỆN","Một công việc trong chuỗi vận hành","mvx-v3.js:376","REPEATABLE","BUILT"
"master.drawer.process.task.order","DUNG_CHUNG","GIAO DIỆN","Số thứ tự vận hành của công việc","mvx-v3.js:377","REPEATABLE","BUILT"
"master.drawer.process.task.name","DUNG_CHUNG","DỮ LIỆU","Tên công việc","mvx-v3.js:379","REPEATABLE","BUILT"
"master.drawer.process.task.relation","DUNG_CHUNG","DỮ LIỆU","Quan hệ khởi đầu nối tiếp hoặc song song","mvx-v3.js:379","REPEATABLE","BUILT"
"master.drawer.process.task.dependency","DUNG_CHUNG","DỮ LIỆU","Công việc hoặc tín hiệu mà việc này phụ thuộc","mvx-v3.js:380","REPEATABLE","BUILT"
"master.drawer.process.task.wiring","DUNG_CHUNG","GIAO DIỆN","Khối nối vận hành của một công việc","mvx-v3.js:381","REPEATABLE","BUILT"
"master.drawer.process.task.trigger","DUNG_CHUNG","DỮ LIỆU","Trigger của công việc","mvx-v3.js:382","REPEATABLE","BUILT"
"master.drawer.process.task.condition","DUNG_CHUNG","DỮ LIỆU","Điều kiện chạy của công việc","mvx-v3.js:383","REPEATABLE","BUILT"
"master.drawer.process.task.queue","DUNG_CHUNG","DỮ LIỆU","Hàng đợi của công việc","mvx-v3.js:384","REPEATABLE","BUILT"
"master.drawer.process.task.signal","DUNG_CHUNG","DỮ LIỆU","Tín hiệu ra của công việc","mvx-v3.js:385","REPEATABLE","BUILT"
"master.drawer.process.task.roles","DUNG_CHUNG","GIAO DIỆN","Khối ba vai người của công việc","mvx-v3.js:387","REPEATABLE","BUILT"
"master.drawer.process.task.role","DUNG_CHUNG","GIAO DIỆN","Một chip vai người","mvx-v3.js:388","REPEATABLE","BUILT"
"master.drawer.process.task.role.label","DUNG_CHUNG","GIAO DIỆN","Nhãn vai thực hiện báo cáo hoặc làm thay","mvx-v3.js:388","REPEATABLE","BUILT"
"master.drawer.process.task.role.value","DUNG_CHUNG","DỮ LIỆU","Người hoặc Agent được gán vai","mvx-v3.js:388","REPEATABLE","BUILT"
"master.drawer.process.task.time","DUNG_CHUNG","GIAO DIỆN","Khối thời gian của một công việc","mvx-v3.js:391","REPEATABLE","BUILT"
"master.drawer.process.task.time.exec","DUNG_CHUNG","DỮ LIỆU","Phút thực thi của công việc","mvx-v3.js:392","REPEATABLE","BUILT"
"master.drawer.process.task.time.buffer","DUNG_CHUNG","DỮ LIỆU","Phút dự phòng phát sinh của công việc","mvx-v3.js:393","REPEATABLE","BUILT"
"master.drawer.process.totals","DUNG_CHUNG","GIAO DIỆN","Khối tổng thời gian của quy trình","mvx-v3.js:412","CONDITIONAL","BUILT"
"master.drawer.process.totals.assigned","DUNG_CHUNG","DỮ LIỆU","Phút chỉ định cho cả quy trình tg_chi_dinh","mvx-v3.js:417","CONDITIONAL","BUILT"
"master.drawer.process.readiness","DUNG_CHUNG","GIAO DIỆN","Khối còn thiếu gì để quy trình chạy","mvx-v3.js:419","CONDITIONAL","BUILT"
"master.drawer.process.readiness.status","DUNG_CHUNG","DỮ LIỆU","Trạng thái và số điểm cần bổ sung","mvx-v3.js:420","CONDITIONAL","BUILT"
"master.drawer.process.readiness.item","DUNG_CHUNG","GIAO DIỆN","Một dòng kiểm tra mức sẵn sàng","mvx-v3.js:421","REPEATABLE(7)","BUILT"
"master.drawer.process.readiness.item.ok","DUNG_CHUNG","GIAO DIỆN","Dấu đạt của một điều kiện sẵn sàng","mvx-v3.js:421","CONDITIONAL","BUILT"
"master.drawer.process.readiness.item.missing","DUNG_CHUNG","GIAO DIỆN","Dấu còn thiếu của một điều kiện sẵn sàng","mvx-v3.js:421","CONDITIONAL","BUILT"
"master.process","DUNG_CHUNG","GIAO DIỆN","Khu ma trận quy trình lạ đã được thay bằng UI MOW nâng cao","master-list.js:v6:390","CONDITIONAL","TO_REMOVE"
"master.process.group","DUNG_CHUNG","GIAO DIỆN","Nhóm bước của ma trận cũ","master-list.js:v6:380","REPEATABLE","TO_REMOVE"
"master.process.group.agent","DUNG_CHUNG","DỮ LIỆU","Nhãn Agent của ma trận cũ","master-list.js:v6:380","CONDITIONAL","TO_REMOVE"
"master.process.group.name","DUNG_CHUNG","DỮ LIỆU","Tên nhóm bước của ma trận cũ","master-list.js:v6:380","REPEATABLE","TO_REMOVE"
"master.process.header","DUNG_CHUNG","GIAO DIỆN","Đầu ma trận quy trình cũ","master-list.js:v6:390","CONDITIONAL","TO_REMOVE"
"master.process.person","DUNG_CHUNG","DỮ LIỆU","Chip người của ma trận cũ","master-list.js:v6:374","REPEATABLE","TO_REMOVE"
"master.process.source","DUNG_CHUNG","GIAO DIỆN","Nhãn nguồn của ma trận cũ","master-list.js:v6:390","CONDITIONAL","TO_REMOVE"
"master.process.summary","DUNG_CHUNG","GIAO DIỆN","Tóm tắt của ma trận cũ","master-list.js:v6:393","CONDITIONAL","TO_REMOVE"
"master.process.summary.path","DUNG_CHUNG","DỮ LIỆU","Đường dẫn trong tóm tắt ma trận cũ","master-list.js:v6:393","CONDITIONAL","TO_REMOVE"
"master.process.summary.total","DUNG_CHUNG","DỮ LIỆU","Tổng phút trong ma trận cũ","master-list.js:v6:393","CONDITIONAL","TO_REMOVE"
"master.process.table","DUNG_CHUNG","GIAO DIỆN","Bảng ma trận quy trình cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.body","DUNG_CHUNG","GIAO DIỆN","Thân bảng ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.column.executor","DUNG_CHUNG","GIAO DIỆN","Cột người thực hiện ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.column.index","DUNG_CHUNG","GIAO DIỆN","Cột thứ tự ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.column.minutes","DUNG_CHUNG","GIAO DIỆN","Cột số phút ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.column.name","DUNG_CHUNG","GIAO DIỆN","Cột tên ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.column.note","DUNG_CHUNG","GIAO DIỆN","Cột ghi chú ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.column.recipient","DUNG_CHUNG","GIAO DIỆN","Cột người nhận báo cáo ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.column.trigger","DUNG_CHUNG","GIAO DIỆN","Cột trigger ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.header","DUNG_CHUNG","GIAO DIỆN","Đầu bảng ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.table.wrap","DUNG_CHUNG","GIAO DIỆN","Khung cuộn ma trận cũ","master-list.js:v6:392","CONDITIONAL","TO_REMOVE"
"master.process.tabs","DUNG_CHUNG","GIAO DIỆN","Dải tab ma trận cũ","master-list.js:v6:391","CONDITIONAL","TO_REMOVE"
"master.process.tabs.add","DUNG_CHUNG","HÀNH VI","Nút thêm tab ma trận cũ","master-list.js:v6:391","CONDITIONAL","TO_REMOVE"
"master.process.tabs.view","DUNG_CHUNG","HÀNH VI","Tab xem ma trận cũ","master-list.js:v6:391","CONDITIONAL","TO_REMOVE"
"master.process.task","DUNG_CHUNG","GIAO DIỆN","Một dòng việc của ma trận cũ","master-list.js:v6:382","REPEATABLE","TO_REMOVE"
"master.process.task.executor","DUNG_CHUNG","DỮ LIỆU","Người thực hiện trong ma trận cũ","master-list.js:v6:385","REPEATABLE","TO_REMOVE"
"master.process.task.index","DUNG_CHUNG","GIAO DIỆN","Số thứ tự trong ma trận cũ","master-list.js:v6:382","REPEATABLE","TO_REMOVE"
"master.process.task.minutes","DUNG_CHUNG","DỮ LIỆU","Số phút trong ma trận cũ","master-list.js:v6:384","REPEATABLE","TO_REMOVE"
"master.process.task.name","DUNG_CHUNG","DỮ LIỆU","Tên việc trong ma trận cũ","master-list.js:v6:382","REPEATABLE","TO_REMOVE"
"master.process.task.note","DUNG_CHUNG","DỮ LIỆU","Ghi chú trong ma trận cũ","master-list.js:v6:386","REPEATABLE","TO_REMOVE"
"master.process.task.recipient","DUNG_CHUNG","DỮ LIỆU","Người nhận báo cáo trong ma trận cũ","master-list.js:v6:385","REPEATABLE","TO_REMOVE"
"master.process.task.trigger","DUNG_CHUNG","DỮ LIỆU","Trigger trong ma trận cũ","master-list.js:v6:383","REPEATABLE","TO_REMOVE"
"master.process.title","DUNG_CHUNG","GIAO DIỆN","Tiêu đề ma trận cũ","master-list.js:v6:390","CONDITIONAL","TO_REMOVE"
