"ma","pham_vi","nhom","mo_ta","vi_tri_source","occurrence","trang_thai"
"modut.anchor","RIENG_MODUT","GIAO DIỆN","MODUT / Neo 7 tầng và xuất","modut-builder-v1.html:115","SINGLE","BUILT"
"modut.anchor.export","RIENG_MODUT","GIAO DIỆN","MODUT / Neo 7 tầng và xuất / Xuất file","modut-builder-v1.html:117","SINGLE","BUILT"
"modut.anchor.export.csv","RIENG_MODUT","HÀNH VI","MODUT / Neo 7 tầng và xuất / Xuất file / Xuất CSV","modut-builder-v1.html:119","SINGLE","BUILT"
"modut.anchor.export.xlsx","RIENG_MODUT","HÀNH VI","MODUT / Neo 7 tầng và xuất / Xuất file / Xuất Excel","modut-builder-v1.html:118","SINGLE","BUILT"
"modut.anchor.field","RIENG_MODUT","HÀNH VI","MODUT / Neo 7 tầng và xuất / Chọn neo","modut-builder-v1.html:116","SINGLE","BUILT"
"modut.anchor.field.name","RIENG_MODUT","DỮ LIỆU","MODUT / Neo 7 tầng và xuất / Chọn neo / Tên","modut-builder-v1.html:116","SINGLE","BUILT"
"modut.anchor.header","RIENG_MODUT","GIAO DIỆN","MODUT / Neo 7 tầng và xuất / Đầu mục","modut-builder-v1.html:115","SINGLE","BUILT"
"modut.app","RIENG_MODUT","GIAO DIỆN","MODUT / Ứng dụng","modut-builder-v1.html:73","SINGLE","BUILT"
"modut.builder","RIENG_MODUT","GIAO DIỆN","MODUT / Bộ lắp ráp","modut-builder-v1.html:85","SINGLE","BUILT"
"modut.builder.left","RIENG_MODUT","GIAO DIỆN","MODUT / Bộ lắp ráp / Cột thiết lập","modut-builder-v1.html:86","SINGLE","BUILT"
"modut.builder.panel","RIENG_MODUT","GIAO DIỆN","MODUT / Bộ lắp ráp / Bảng thiết lập","modut-builder-v1.html:87","SINGLE","BUILT"
"modut.cat","RIENG_MODUT","GIAO DIỆN","MODUT / Kho neo 7 tầng","modut-builder-v1.html:135","SINGLE","BUILT"
"modut.cat.close","RIENG_MODUT","HÀNH VI","MODUT / Kho neo 7 tầng / Đóng","modut-builder-v1.html:136","SINGLE","BUILT"
"modut.cat.dialog","RIENG_MODUT","GIAO DIỆN","MODUT / Kho neo 7 tầng / Hộp thoại","modut-builder-v1.html:135","SINGLE","BUILT"
"modut.cat.item","RIENG_MODUT","HÀNH VI","MODUT / Kho neo 7 tầng / Mục lặp","modut-builder-v1.html:215","REPEATABLE","BUILT"
"modut.cat.item.name","RIENG_MODUT","DỮ LIỆU","MODUT / Kho neo 7 tầng / Mục lặp / Tên","modut-builder-v1.html:216","REPEATABLE","BUILT"
"modut.cat.item.tier","RIENG_MODUT","DỮ LIỆU","MODUT / Kho neo 7 tầng / Mục lặp / Tầng","modut-builder-v1.html:216","REPEATABLE","BUILT"
"modut.cat.list","RIENG_MODUT","GIAO DIỆN","MODUT / Kho neo 7 tầng / Danh sách MOUT","modut-builder-v1.html:139","SINGLE","BUILT"
"modut.cat.search","RIENG_MODUT","HÀNH VI","MODUT / Kho neo 7 tầng / Tìm kiếm","modut-builder-v1.html:138","SINGLE","BUILT"
"modut.cat.tiers","RIENG_MODUT","GIAO DIỆN","MODUT / Kho neo 7 tầng / Bộ lọc 7 tầng","modut-builder-v1.html:137","SINGLE","BUILT"
"modut.cat.tiers.item","RIENG_MODUT","HÀNH VI","MODUT / Kho neo 7 tầng / Bộ lọc 7 tầng / Mục lặp","modut-builder-v1.html:207","REPEATABLE","BUILT"
"modut.cat.title","RIENG_MODUT","GIAO DIỆN","MODUT / Kho neo 7 tầng / Tiêu đề","modut-builder-v1.html:136","SINGLE","BUILT"
"modut.content","RIENG_MODUT","GIAO DIỆN","MODUT / Nội dung","modut-builder-v1.html:81","SINGLE","BUILT"
"modut.fn","RIENG_MODUT","GIAO DIỆN","MODUT / Hàm số liệu","modut-builder-v1.html:98","SINGLE","BUILT"
"modut.fn.header","RIENG_MODUT","GIAO DIỆN","MODUT / Hàm số liệu / Đầu mục","modut-builder-v1.html:98","SINGLE","BUILT"
"modut.fn.note","RIENG_MODUT","GIAO DIỆN","MODUT / Hàm số liệu / Ghi chú","modut-builder-v1.html:100","SINGLE","BUILT"
